BBL,Job_Filing,BBL_Description,Joint_NBs,Address,NB_Owner,Same_Owner,RPP_Owner_Not_Same,doc_id
4083040068,-,Adjacent,Adjacent,-,-,0,-,-
4083040073,-,Adjacent,Adjacent,-,-,0,-,-
4083040070,-,Adjacent,Adjacent,-,-,0,-,-
4083040077,-,Adjacent,Adjacent,-,-,0,-,-
4083040050,-,Block,Block,-,-,0,-,-
4083040056,-,Block,Block,-,-,0,-,-
4083040089,-,Block,Block,-,-,0,-,-
4083040093,-,Block,Block,-,-,0,-,-
4083040087,-,Block,Block,-,-,0,-,-
4083040086,-,Block,Block,-,-,0,-,-
4083040066,-,Block,Block,-,-,0,-,-
4083040054,-,Block,Block,-,-,0,-,-
4083040059,-,Block,Block,-,-,0,-,-
4083040083,-,Block,Block,-,-,0,-,-
4083040064,-,Block,Block,-,-,0,-,-
4083040052,-,Block,Block,-,-,0,-,-
4083040061,-,Block,Block,-,-,0,-,-
4083040080,-,Block,Block,-,-,0,-,-
2042670037,NB,Job Filing,NB,1963 COLDEN AVENUE,FCI CONTRACTING CO. INC.,0,0,-
2042670039,-,Adjacent,Adjacent,-,-,0,-,-
2042670034,-,Adjacent,Adjacent,-,-,0,-,-
2042670035,-,Adjacent,Adjacent,-,-,0,-,-
2042670023,-,Adjacent,Adjacent,-,-,0,-,-
2042670033,-,Adjacent,Adjacent,-,-,0,-,-
2042670133,-,Adjacent,Adjacent,-,-,0,-,-
2042670026,-,Adjacent,Adjacent,-,-,0,-,-
2042670032,-,Adjacent,Adjacent,-,-,0,-,-
2042670025,-,Adjacent,Adjacent,-,-,0,-,-
2042670016,-,Block,Block,-,-,0,-,-
2042670018,-,Block,Block,-,-,0,-,-
2042670003,-,Block,Block,-,-,0,-,-
2042670108,-,Block,Block,-,-,0,-,-
2042670029,-,Block,Block,-,-,0,-,-
2042670046,-,Block,Block,-,-,0,-,-
2042670054,-,Block,Block,-,-,0,-,-
2042670019,-,Block,Block,-,-,0,-,-
2042670030,-,Block,Block,-,-,0,-,-
2042670004,-,Block,Block,-,-,0,-,-
2042670047,-,Block,Block,-,-,0,-,-
2042670042,-,Block,Block,-,-,0,-,-
2042670053,-,Block,Block,-,-,0,-,-
2042670044,-,Block,Block,-,-,0,-,-
2042670021,-,Block,Block,-,-,0,-,-
2042670062,-,Block,Block,-,-,0,-,-
2042670045,-,Block,Block,-,-,0,-,-
2042670001,-,Block,Block,-,-,0,-,-
2042670002,-,Block,Block,-,-,0,-,-
2042670010,-,Block,Block,-,-,0,-,-
2042670007,-,Block,Block,-,-,0,-,-
2042670017,-,Block,Block,-,-,0,-,-
2042670043,-,Block,Block,-,-,0,-,-
2042670041,-,Block,Block,-,-,0,-,-
2042670008,-,Block,Block,-,-,0,-,-
2042670014,-,Block,Block,-,-,0,-,-
2042670011,-,Block,Block,-,-,0,-,-
2042670040,-,Block,Block,-,-,0,-,-
2042670028,-,Block,Block,-,-,0,-,-
2042670052,-,Block,Block,-,-,0,-,-
2042670049,-,Block,Block,-,-,0,-,-
2042670057,-,Block,Block,-,-,0,-,-
2042670006,-,Block,Block,-,-,0,-,-
2042670005,-,Block,Block,-,-,0,-,-
2042670020,-,Block,Block,-,-,0,-,-
2042670056,-,Block,Block,-,-,0,-,-
2042670050,-,Block,Block,-,-,0,-,-
2042670015,-,Block,Block,-,-,0,-,-
2042670055,-,Block,Block,-,-,0,-,-
2042670031,-,Block,Block,-,-,0,-,-
2042670051,-,Block,Block,-,-,0,-,-
2042670009,-,Block,Block,-,-,0,-,-
2042670063,-,Block,Block,-,-,0,-,-
2042670061,-,Block,Block,-,-,0,-,-
2042670060,-,Block,Block,-,-,0,-,-
2042670058,-,Block,Block,-,-,0,-,-
2042670012,-,Block,Block,-,-,0,-,-
2042670013,-,Block,Block,-,-,0,-,-
2042670048,-,Block,Block,-,-,0,-,-
2042670106,-,Block,Block,-,-,0,-,-
2042670107,-,Block,Block,-,-,0,-,-
2042670038,NB,Job Filing,NB,1961 COLDEN AVENUE,FCI CONTRACTING CO. INC.,0,1,-
2042670016,-,Block,Block,-,-,0,-,-
2042670033,-,Block,Adjacent,-,-,0,-,-
2042670018,-,Block,Block,-,-,0,-,-
2042670003,-,Block,Block,-,-,0,-,-
2042670133,-,Block,Adjacent,-,-,0,-,-
2042670108,-,Block,Block,-,-,0,-,-
2042670029,-,Block,Block,-,-,0,-,-
2042670037,-,Block,NB,-,-,0,-,-
2042670046,-,Block,Block,-,-,0,-,-
2042670054,-,Block,Block,-,-,0,-,-
2042670019,-,Block,Block,-,-,0,-,-
2042670025,-,Block,Adjacent,-,-,0,-,-
2042670030,-,Block,Block,-,-,0,-,-
2042670004,-,Block,Block,-,-,0,-,-
2042670047,-,Block,Block,-,-,0,-,-
2042670032,-,Block,Adjacent,-,-,0,-,-
2042670042,-,Block,Block,-,-,0,-,-
2042670053,-,Block,Block,-,-,0,-,-
2042670044,-,Block,Block,-,-,0,-,-
2042670021,-,Block,Block,-,-,0,-,-
2042670062,-,Block,Block,-,-,0,-,-
2042670045,-,Block,Block,-,-,0,-,-
2042670001,-,Block,Block,-,-,0,-,-
2042670002,-,Block,Block,-,-,0,-,-
2042670035,-,Block,Adjacent,-,-,0,-,-
2042670010,-,Block,Block,-,-,0,-,-
2042670007,-,Block,Block,-,-,0,-,-
2042670017,-,Block,Block,-,-,0,-,-
2042670043,-,Block,Block,-,-,0,-,-
2042670041,-,Block,Block,-,-,0,-,-
2042670039,-,Block,Adjacent,-,-,0,-,-
2042670008,-,Block,Block,-,-,0,-,-
2042670014,-,Block,Block,-,-,0,-,-
2042670023,-,Block,Adjacent,-,-,0,-,-
2042670011,-,Block,Block,-,-,0,-,-
2042670040,-,Block,Block,-,-,0,-,-
2042670028,-,Block,Block,-,-,0,-,-
2042670052,-,Block,Block,-,-,0,-,-
2042670049,-,Block,Block,-,-,0,-,-
2042670057,-,Block,Block,-,-,0,-,-
2042670006,-,Block,Block,-,-,0,-,-
2042670005,-,Block,Block,-,-,0,-,-
2042670020,-,Block,Block,-,-,0,-,-
2042670056,-,Block,Block,-,-,0,-,-
2042670050,-,Block,Block,-,-,0,-,-
2042670015,-,Block,Block,-,-,0,-,-
2042670034,-,Block,Adjacent,-,-,0,-,-
2042670055,-,Block,Block,-,-,0,-,-
2042670031,-,Block,Block,-,-,0,-,-
2042670051,-,Block,Block,-,-,0,-,-
2042670009,-,Block,Block,-,-,0,-,-
2042670026,-,Block,Adjacent,-,-,0,-,-
2042670063,-,Block,Block,-,-,0,-,-
2042670061,-,Block,Block,-,-,0,-,-
2042670060,-,Block,Block,-,-,0,-,-
2042670058,-,Block,Block,-,-,0,-,-
2042670012,-,Block,Block,-,-,0,-,-
2042670013,-,Block,Block,-,-,0,-,-
2042670048,-,Block,Block,-,-,0,-,-
2042670106,-,Block,Block,-,-,0,-,-
2042670107,-,Block,Block,-,-,0,-,-
3023050010,NB,Job Filing,NB,170 NORTH 10TH STREET,YISROEL GREENFELD,0,1,-
3023050009,-,Adjacent,Adjacent,-,-,0,-,-
3023050005,-,Adjacent,Adjacent,-,-,0,-,-
3023050034,-,Adjacent,Adjacent,-,-,0,-,-
3023050007,-,Adjacent,Adjacent,-,-,0,-,-
3023050012,-,Adjacent,Adjacent,-,-,0,-,-
3023050008,-,Adjacent,Adjacent,-,-,0,-,-
3023050006,-,Adjacent,Adjacent,-,-,0,-,-
3023050018,-,Block,Block,-,-,0,-,-
3023050016,-,Block,Block,-,-,0,-,-
3023050004,-,Block,Block,-,-,0,-,-
3023050002,-,Block,Block,-,-,0,-,-
3023050017,-,Block,Block,-,-,0,-,-
3023050003,-,Block,Block,-,-,0,-,-
3023050001,-,Block,Block,-,-,0,-,-
3023050032,-,Block,Block,-,-,0,-,-
3023050015,-,Block,Block,-,-,0,-,-
3034260022,NB,Job Filing,NB,32 SCHAEFER STREET,32 GROUP LLC,0,0,-
3034260042,-,Adjacent,Adjacent,-,-,0,-,-
3034260043,-,Adjacent,Adjacent,-,-,0,-,-
3034260021,-,Adjacent,Adjacent,-,-,0,-,-
3034260044,-,Adjacent,Adjacent,-,-,0,-,-
3034260023,-,Adjacent,Adjacent,-,-,0,-,-
3034260003,-,Block,Block,-,-,0,-,-
3034260050,-,Block,Block,-,-,0,-,-
3034260033,-,Block,Block,-,-,0,-,-
3034260048,-,Block,Block,-,-,0,-,-
3034260014,-,Block,Block,-,-,0,-,-
3034260032,-,Block,Block,-,-,0,-,-
3034260008,-,Block,Block,-,-,0,-,-
3034260124,-,Block,Block,-,-,0,-,-
3034260037,-,Block,Block,-,-,0,-,-
3034260020,-,Block,Block,-,-,0,-,-
3034260019,-,Block,Block,-,-,0,-,-
3034260049,-,Block,Block,-,-,0,-,-
3034260005,-,Block,Block,-,-,0,-,-
3034260115,-,Block,Block,-,-,0,-,-
3034260001,-,Block,Block,-,-,0,-,-
3034260041,-,Block,Block,-,-,0,-,-
3034260039,-,Block,Block,-,-,0,-,-
3034260118,-,Block,Block,-,-,0,-,-
3034260117,-,Block,Block,-,-,0,-,-
3034260040,-,Block,Block,-,-,0,-,-
3034260116,-,Block,Block,-,-,0,-,-
3034260030,-,Block,Block,-,-,0,-,-
3034260047,-,Block,Block,-,-,0,-,-
3034260027,-,Block,Block,-,-,0,-,-
3034260038,-,Block,Block,-,-,0,-,-
3034260007,-,Block,Block,-,-,0,-,-
3034260035,-,Block,Block,-,-,0,-,-
3034260028,-,Block,Block,-,-,0,-,-
3034260009,-,Block,Block,-,-,0,-,-
3034260125,-,Block,Block,-,-,0,-,-
3034260004,-,Block,Block,-,-,0,-,-
3034260031,-,Block,Block,-,-,0,-,-
3034260045,-,Block,Block,-,-,0,-,-
3034260013,-,Block,Block,-,-,0,-,-
3034260026,-,Block,Block,-,-,0,-,-
3034260046,-,Block,Block,-,-,0,-,-
5000160117,NB,Job Filing,NB,422 ST MARKS PLACE,"PIZICAS, VILMA SONIA; PIZICAS, JOHN M; PIZICAS, ANTHONY J; PIZICAS, SONIA",0,1,-
5000160022,-,Adjacent,Adjacent,-,-,0,-,-
5000160118,-,Adjacent,Adjacent,-,-,0,-,-
5000160116,-,Adjacent,Adjacent,420 ST MARKS PLACE,"PIZICAS, ANTHONY J",1,-,2019071900418001
5000160103,-,Block,Block,-,-,0,-,-
5000160054,-,Block,Block,-,-,0,-,-
5000160106,-,Block,Block,-,-,0,-,-
5000160030,-,Block,Block,-,-,0,-,-
5000160146,-,Block,Block,-,-,0,-,-
5000160045,-,Block,Block,-,-,0,-,-
5000160039,-,Block,Block,-,-,0,-,-
5000160037,-,Block,Block,-,-,0,-,-
5000160104,-,Block,Block,-,-,0,-,-
5000160029,-,Block,Block,-,-,0,-,-
5000160149,-,Block,Block,-,-,0,-,-
5000160101,-,Block,Block,-,-,0,-,-
5000160108,-,Block,Block,-,-,0,-,-
5000160124,-,Block,Block,-,-,0,-,-
5000160102,-,Block,Block,-,-,0,-,-
5000160035,-,Block,Block,-,-,0,-,-
5000160046,-,Block,Block,-,-,0,-,-
5000160105,-,Block,Block,-,-,0,-,-
5000160025,-,Block,Block,-,-,0,-,-
5000160043,-,Block,Block,-,-,0,-,-
5000160114,-,Block,Block,-,-,0,-,-
5000160148,-,Block,Block,-,-,0,-,-
5000160113,-,Block,Block,-,-,0,-,-
5000160125,-,Block,Block,-,-,0,-,-
5000160050,-,Block,Block,-,-,0,-,-
5000160107,-,Block,Block,-,-,0,-,-
5000160150,-,Block,Block,-,-,0,-,-
5000160010,-,Block,Block,-,-,0,-,-
5000160015,-,Block,Block,-,-,0,-,-
5000160068,-,Block,Block,-,-,0,-,-
5000160019,-,Block,Block,-,-,0,-,-
5000160047,-,Block,Block,-,-,0,-,-
5000160013,-,Block,Block,-,-,0,-,-
5000160145,-,Block,Block,-,-,0,-,-
5000160123,-,Block,Block,-,-,0,-,-
5000160119,-,Block,Block,-,-,0,-,-
5000160012,-,Block,Block,-,-,0,-,-
5000160142,-,Block,Block,-,-,0,-,-
5000160111,-,Block,Block,-,-,0,-,-
5000160034,-,Block,Block,-,-,0,-,-
5000160028,-,Block,Block,-,-,0,-,-
5000160014,-,Block,Block,-,-,0,-,-
5000160098,-,Block,Block,-,-,0,-,-
5000160242,-,Block,Block,-,-,0,-,-
5000160001,-,Block,Block,-,-,0,-,-
5000160112,-,Block,Block,-,-,0,-,-
5000160016,-,Block,Block,-,-,0,-,-
5000160007,-,Block,Block,-,-,0,-,-
5000160147,-,Block,Block,-,-,0,-,-
5000160110,-,Block,Block,-,-,0,-,-
5000160040,-,Block,Block,-,-,0,-,-
5000160120,-,Block,Block,-,-,0,-,-
5000160031,-,Block,Block,-,-,0,-,-
5000160032,-,Block,Block,-,-,0,-,-
5000160041,-,Block,Block,-,-,0,-,-
5000160004,-,Block,Block,-,-,0,-,-
5000160109,-,Block,Block,-,-,0,-,-
5000160122,-,Block,Block,-,-,0,-,-
3019280049,NB,Job Filing,NB,952 BEDFORD AVENUE,952 BEDFORD LLC,0,0,-
3019280048,-,Adjacent,Adjacent,-,-,0,-,-
3019280152,-,Adjacent,Adjacent,-,-,0,-,-
3019280018,-,Adjacent,Adjacent,-,-,0,-,-
3019280034,-,Block,Block,-,-,0,-,-
3019280052,-,Block,Block,-,-,0,-,-
3019280013,-,Block,Block,-,-,0,-,-
3019280022,-,Block,Block,-,-,0,-,-
3019280067,-,Block,Block,-,-,0,-,-
3019280029,-,Block,Block,-,-,0,-,-
3019280047,-,Block,Block,-,-,0,-,-
3019280075,-,Block,Block,-,-,0,-,-
3019280066,-,Block,Block,-,-,0,-,-
3019280017,-,Block,Block,-,-,0,-,-
3019280062,-,Block,Block,-,-,0,-,-
3019280058,-,Block,Block,-,-,0,-,-
3019280074,-,Block,Block,-,-,0,-,-
3019280030,-,Block,Block,-,-,0,-,-
3019280054,-,Block,Block,-,-,0,-,-
3019280006,-,Block,Block,-,-,0,-,-
3019280009,-,Block,Block,-,-,0,-,-
3019280064,-,Block,Block,-,-,0,-,-
3019280065,-,Block,Block,-,-,0,-,-
3019280012,-,Block,Block,-,-,0,-,-
3019280032,-,Block,Block,-,-,0,-,-
3019280004,-,Block,Block,-,-,0,-,-
3019280005,-,Block,Block,-,-,0,-,-
3019280076,-,Block,Block,-,-,0,-,-
3019280077,-,Block,Block,-,-,0,-,-
3019280001,-,Block,Block,-,-,0,-,-
3019280046,-,Block,Block,-,-,0,-,-
3019280171,-,Block,Block,-,-,0,-,-
3019280060,-,Block,Block,-,-,0,-,-
3019280055,-,Block,Block,-,-,0,-,-
3019280070,-,Block,Block,-,-,0,-,-
3019280026,-,Block,Block,-,-,0,-,-
3019280071,-,Block,Block,-,-,0,-,-
3019280002,-,Block,Block,-,-,0,-,-
3019280031,-,Block,Block,-,-,0,-,-
3019280069,-,Block,Block,-,-,0,-,-
3019280025,-,Block,Block,-,-,0,-,-
3019280063,-,Block,Block,-,-,0,-,-
3019280059,-,Block,Block,-,-,0,-,-
3019280010,-,Block,Block,-,-,0,-,-
3019280072,-,Block,Block,-,-,0,-,-
3019280056,-,Block,Block,-,-,0,-,-
3019280043,-,Block,Block,-,-,0,-,-
3019280003,-,Block,Block,-,-,0,-,-
3019280042,-,Block,Block,-,-,0,-,-
3019280057,-,Block,Block,-,-,0,-,-
3019280068,-,Block,Block,-,-,0,-,-
3019280073,-,Block,Block,-,-,0,-,-
3019280053,-,Block,Block,-,-,0,-,-
3019280033,-,Block,Block,-,-,0,-,-
3019280011,-,Block,Block,-,-,0,-,-
3019280023,-,Block,Block,-,-,0,-,-
3019280014,-,Block,Block,-,-,0,-,-
3019280007,-,Block,Block,-,-,0,-,-
4038030115,NB,Job Filing,NB,76-06GAR 79TH STREET,LYNN SOUTHWICK,0,0,-
4038030114,-,Adjacent,Adjacent,-,-,0,-,-
4038030111,-,Adjacent,Adjacent,-,-,0,-,-
4038030010,-,Block,Block,-,-,0,-,-
4038030012,-,Block,Block,-,-,0,-,-
4038030239,-,Block,Block,-,-,0,-,-
4038030110,-,Block,Block,-,-,0,-,-
4038030123,-,Block,Block,-,-,0,-,-
4038030001,-,Block,Block,-,-,0,-,-
4038030133,-,Block,Block,-,-,0,-,-
4038030092,-,Block,Block,-,-,0,-,-
4038030134,-,Block,Block,-,-,0,-,-
4038030120,-,Block,Block,-,-,0,-,-
4038030004,-,Block,Block,-,-,0,-,-
4038030241,-,Block,Block,-,-,0,-,-
4038030091,-,Block,Block,-,-,0,-,-
4038030112,-,Block,Block,-,-,0,-,-
4038030040,-,Block,Block,-,-,0,-,-
4038030122,-,Block,Block,-,-,0,-,-
4038030003,-,Block,Block,-,-,0,-,-
4038030039,-,Block,Block,-,-,0,-,-
4038030015,-,Block,Block,-,-,0,-,-
4038030011,-,Block,Block,-,-,0,-,-
4038030063,-,Block,Block,-,-,0,-,-
4038030005,-,Block,Block,-,-,0,-,-
4038030034,-,Block,Block,-,-,0,-,-
4038030035,-,Block,Block,-,-,0,-,-
4038030014,-,Block,Block,-,-,0,-,-
4163500300,NB,Job Filing,NB,47 REID AVE,"DAVIDSON, EILEEN T; LENTNEK, MARGARET; LENTNEK, DONALD",0,1,-
4163500354,-,Adjacent,Adjacent,-,-,0,-,-
4163500350,-,Adjacent,Adjacent,-,-,0,-,-
4163500360,-,Adjacent,Adjacent,-,-,0,-,-
4163500358,-,Adjacent,Adjacent,-,-,0,-,-
4163500100,-,Adjacent,Adjacent,-,-,0,-,-
4163500356,-,Adjacent,Adjacent,-,-,0,-,-
4163500500,-,Adjacent,Adjacent,-,-,0,-,-
4163500352,-,Adjacent,Adjacent,-,-,0,-,-
4163500002,-,Adjacent,Adjacent,-,-,0,-,-
4163500081,-,Block,Block,-,-,0,-,-
4163500372,-,Block,Block,-,-,0,-,-
4163500024,-,Block,Block,-,-,0,-,-
4163500362,-,Block,Block,-,-,0,-,-
4163500050,-,Block,Block,-,-,0,-,-
4163500370,-,Block,Block,-,-,0,-,-
4163500019,-,Block,Block,-,-,0,-,-
4163500075,-,Block,Block,-,-,0,-,-
4163500023,-,Block,Block,-,-,0,-,-
4163500049,-,Block,Block,-,-,0,-,-
4163500366,-,Block,Block,-,-,0,-,-
4163500025,-,Block,Block,-,-,0,-,-
4163500021,-,Block,Block,-,-,0,-,-
4163500076,-,Block,Block,-,-,0,-,-
4163500022,-,Block,Block,-,-,0,-,-
4163500368,-,Block,Block,-,-,0,-,-
4163500101,-,Block,Block,-,-,0,-,-
4163500364,-,Block,Block,-,-,0,-,-
4163500400,-,Block,Block,-,-,0,-,-
4000290018,NB,Job Filing,NB,5-12 47TH AVE,5TH STREET DEVELOPMENT INC,0,0,-
4000290022,-,Adjacent,Adjacent,-,-,0,-,-
4000290024,-,Adjacent,Adjacent,-,-,0,-,-
4000290021,-,Adjacent,Adjacent,-,-,0,-,-
4000290023,-,Adjacent,Adjacent,-,-,0,-,-
4000290017,-,Adjacent,Adjacent,-,-,0,-,-
4000290030,-,Adjacent,Adjacent,-,-,0,-,-
4000290026,-,Adjacent,Adjacent,-,-,0,-,-
4000290010,-,Block,Block,-,-,0,-,-
4000290040,-,Block,Block,-,-,0,-,-
4000290009,-,Block,Block,-,-,0,-,-
4000290038,-,Block,Block,-,-,0,-,-
4000290003,-,Block,Block,-,-,0,-,-
4000290012,-,Block,Block,-,-,0,-,-
4000290004,-,Block,Block,-,-,0,-,-
4000290011,-,Block,Block,-,-,0,-,-
4000290037,-,Block,Block,-,-,0,-,-
4000290042,-,Block,Block,-,-,0,-,-
4000290002,-,Block,Block,-,-,0,-,-
4000290006,-,Block,Block,-,-,0,-,-
4000290048,-,Block,Block,-,-,0,-,-
4000290001,-,Block,Block,-,-,0,-,-
4000290005,-,Block,Block,-,-,0,-,-
4000290007,-,Block,Block,-,-,0,-,-
4000290047,-,Block,Block,-,-,0,-,-
4000290039,-,Block,Block,-,-,0,-,-
4000290046,-,Block,Block,-,-,0,-,-
4000290016,-,Block,Block,-,-,0,-,-
4000290041,-,Block,Block,-,-,0,-,-
4000290008,-,Block,Block,-,-,0,-,-
4000290013,-,Block,Block,-,-,0,-,-
4000290035,-,Block,Block,-,-,0,-,-
4000290034,-,Block,Block,-,-,0,-,-
4000290036,-,Block,Block,-,-,0,-,-
4054080055,NB,Job Filing,NB,149-25GAR DELAWARE AVENUE,QUEENSLAND GROUP LLC,0,1,-
4054080007,-,Adjacent,Adjacent,-,-,0,-,-
4054080009,-,Adjacent,Adjacent,-,-,0,-,-
4054080057,-,Adjacent,Adjacent,-,-,0,-,-
4054080053,-,Adjacent,Adjacent,-,-,0,-,-
4054080003,-,Block,Block,-,-,0,-,-
4054080041,-,Block,Block,-,-,0,-,-
4054080030,-,Block,Block,-,-,0,-,-
4054080020,-,Block,Block,-,-,0,-,-
4054080018,-,Block,Block,-,-,0,-,-
4054080047,-,Block,Block,-,-,0,-,-
4054080013,-,Block,Block,-,-,0,-,-
4054080059,-,Block,Block,-,-,0,-,-
4054080038,-,Block,Block,-,-,0,-,-
4054080034,-,Block,Block,-,-,0,-,-
4054080068,-,Block,Block,-,-,0,-,-
4054080036,-,Block,Block,-,-,0,-,-
4054080032,-,Block,Block,-,-,0,-,-
4054080017,-,Block,Block,-,-,0,-,-
4054080051,-,Block,Block,-,-,0,-,-
4054080064,-,Block,Block,-,-,0,-,-
4054080066,-,Block,Block,-,-,0,-,-
4054080061,-,Block,Block,-,-,0,-,-
4054080015,-,Block,Block,-,-,0,-,-
